"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","HasCabin","Fare_capped","Age_norm","Fare_norm","Age_z","Fare_z","Sex_encoded","Embarked_C","Embarked_Q","Embarked_S","Survived_label"
0,"3rd","male",20,0,0,8.05,"S",0,8.05,0.246041719024881,0.122649098643394,-0.684916851061652,-0.781032448652689,1,0,0,1,"No"
0,"3rd","male",39,1,5,31.275,"S",0,31.275,0.484795174667002,0.476503175164243,0.743179539532793,0.352910807202358,1,0,0,1,"No"
0,"3rd","female",14,0,0,7.8542,"S",0,7.8542,0.170645890927369,0.119665906902478,-1.13589465861779,-0.790592237220887,0,0,0,1,"No"
1,"2nd","female",55,0,0,16,"S",0,16,0.685850716260367,0.243774605999293,1.94578702634917,-0.392879644172705,0,0,0,1,"Yes"
0,"3rd","male",2,4,1,29.125,"Q",0,29.125,0.0198542347323448,0.443745962483088,-2.03785027373007,0.247938665110287,1,0,1,0,"No"
1,"2nd","male",30,0,0,13,"S",0,13,0.371701432520734,0.198066867374426,0.0667128281985825,-0.539352400580246,1,0,0,1,"Yes"
0,"3rd","female",31,1,0,18,"S",0,18,0.384267403870319,0.274246431749205,0.141875796124606,-0.295231139901011,0,0,0,1,"No"
1,"3rd","female",21.5,0,0,7.225,"C",0,7.225,0.264890676049259,0.110079470521556,-0.572172399172616,-0.821312456664762,0,1,0,0,"Yes"
0,"2nd","male",35,0,0,26,"S",0,26,0.43453128926866,0.396133734748851,0.4425276678287,0.0953628771857652,1,0,0,1,"No"
1,"2nd","male",34,0,0,13,"S",1,13,0.421965317919075,0.198066867374426,0.367364699902676,-0.539352400580246,1,0,0,1,"Yes"
1,"3rd","female",15,0,0,8.0292,"Q",0,8.0292,0.183211862276954,0.122332191655595,-1.06073169069177,-0.782047993097114,0,0,1,0,"Yes"
1,"1st","male",28,0,0,35.5,"S",1,35.5,0.346569489821563,0.540874907060931,-0.0836131076534643,0.559193272476312,1,0,0,1,"Yes"
0,"3rd","female",8,3,1,21.075,"S",0,21.075,0.0952500628298567,0.321096863839694,-1.58687246617393,-0.145096564583281,0,0,0,1,"No"
1,"3rd","female",38,1,5,31.3875,"S",0,31.3875,0.472229203317416,0.478217215362676,0.66801657160677,0.358403535567641,0,0,0,1,"Yes"
0,"3rd","male",25,0,0,7.225,"C",0,7.225,0.308871575772807,0.110079470521556,-0.309102011431534,-0.821312456664762,1,1,0,0,"No"
0,"1st","male",19,3,2,263,"S",1,65.6344,0.233475747675295,1,-0.760079818987675,2.03048281603878,1,0,0,1,"No"
1,"3rd","female",21.5,0,0,7.8792,"Q",0,7.8792,0.264890676049259,0.120046804724352,-0.572172399172616,-0.789371630917491,0,0,1,0,"Yes"
0,"3rd","male",25,0,0,7.8958,"S",0,7.8958,0.308871575772807,0.120299720878076,-0.309102011431534,-0.788561148332036,1,0,0,1,"No"
0,"1st","male",40,0,0,27.7208,"C",0,27.7208,0.497361146016587,0.422351693624075,0.818342507458817,0.179379650261131,1,1,0,0,"No"
1,"1st","female",35,1,0,146.5208,"C",1,65.6344,0.43453128926866,1,0.4425276678287,2.03048281603878,0,1,0,0,"Yes"
1,"3rd","female",21.5,0,0,7.75,"Q",0,7.75,0.264890676049259,0.118078324780908,-0.572172399172616,-0.795679724293443,0,0,1,0,"Yes"
0,"2nd","male",66,0,0,10.5,"S",0,10.5,0.824076401105805,0.159977085187036,2.77257967353543,-0.661413030919863,1,0,0,1,"No"
0,"1st","male",28,1,0,82.1708,"C",0,65.6344,0.346569489821563,1,-0.0836131076534643,2.03048281603878,1,1,0,0,"No"
0,"1st","male",42,1,0,52,"S",0,52,0.522493088715758,0.792267469497702,0.968668443310863,1.36479343271779,1,0,0,1,"No"
1,"3rd","male",25,0,0,7.2292,"C",0,7.2292,0.308871575772807,0.110143461355631,-0.309102011431534,-0.821107394805792,1,1,0,0,"Yes"
0,"3rd","male",21,0,0,8.05,"S",0,8.05,0.258607690374466,0.122649098643394,-0.609753883135628,-0.781032448652689,1,0,0,1,"No"
0,"3rd","female",18,2,0,18,"S",0,18,0.22090977632571,0.274246431749205,-0.835242786913698,-0.295231139901011,0,0,0,1,"No"
1,"3rd","female",14,1,0,11.2417,"C",0,11.2417,0.170645890927369,0.171277561766391,-1.13589465861779,-0.625200083110706,0,1,0,0,"Yes"
0,"3rd","female",40,1,0,9.475,"S",0,9.475,0.497361146016587,0.144360274490206,0.818342507458817,-0.711457889359107,0,0,0,1,"No"
0,"2nd","female",27,1,0,21,"S",0,21,0.334003518471978,0.319954170374072,-0.158776075579488,-0.14875838349347,0,0,0,1,"No"
0,"3rd","male",25,0,0,7.8958,"C",0,7.8958,0.308871575772807,0.120299720878076,-0.309102011431534,-0.788561148332036,1,1,0,0,"No"
1,"2nd","female",3,1,2,41.5792,"C",0,41.5792,0.0324202060819301,0.633497068610363,-1.96268730580405,0.856005666060553,0,1,0,0,"Yes"
1,"3rd","female",19,0,0,7.8792,"Q",0,7.8792,0.233475747675295,0.120046804724352,-0.760079818987675,-0.789371630917491,0,0,1,0,"Yes"
0,"3rd","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.122649098643394,-0.309102011431534,-0.781032448652689,1,0,0,1,"No"
0,"3rd","male",25,1,0,15.5,"Q",0,15.5,0.308871575772807,0.236156649561815,-0.309102011431534,-0.417291770240628,1,0,1,0,"No"
1,"3rd","female",21.5,0,0,7.75,"Q",0,7.75,0.264890676049259,0.118078324780908,-0.572172399172616,-0.795679724293443,0,0,1,0,"Yes"
0,"3rd","male",25,2,0,21.6792,"C",0,21.6792,0.308871575772807,0.330302402398742,-0.309102011431534,-0.115596951442803,1,1,0,0,"No"
0,"3rd","female",18,1,0,17.8,"S",0,17.8,0.22090977632571,0.271199249174214,-0.835242786913698,-0.30499599032818,0,0,0,1,"No"
0,"3rd","male",7,4,1,39.6875,"S",0,39.6875,0.0826840914802714,0.604675292224809,-1.66203543409996,0.763644828295171,1,0,0,1,"No"
0,"3rd","male",21,0,0,7.8,"S",0,7.8,0.258607690374466,0.118840120424655,-0.609753883135628,-0.79323851168665,1,0,0,1,"No"
1,"1st","female",49,1,0,76.7292,"C",1,65.6344,0.610454888162855,1,1.49480921879303,2.03048281603878,0,1,0,0,"Yes"
1,"2nd","female",29,1,0,26,"S",0,26,0.359135461171149,0.396133734748851,-0.00845013972744087,0.0953628771857652,0,0,0,1,"Yes"
0,"1st","male",65,0,1,61.9792,"C",1,61.9792,0.81151042975622,0.944309691259462,2.6974167056094,1.85202040963183,1,1,0,0,"No"
1,"1st","male",40,0,0,35.5,"S",1,35.5,0.497361146016587,0.540874907060931,0.818342507458817,0.559193272476312,1,0,0,1,"Yes"
1,"2nd","female",21,0,0,10.5,"S",0,10.5,0.258607690374466,0.159977085187036,-0.609753883135628,-0.661413030919863,0,0,0,1,"Yes"
0,"3rd","male",28.5,0,0,7.2292,"C",0,7.2292,0.352852475496356,0.110143461355631,-0.0460316236904526,-0.821107394805792,1,1,0,0,"No"
1,"2nd","female",5,1,2,27.75,"S",0,27.75,0.0575521487811008,0.422796582280024,-1.812361369952,0.180805318423497,0,0,0,1,"Yes"
0,"3rd","male",11,5,2,46.9,"S",0,46.9,0.132947976878613,0.714564313835428,-1.36138356239586,1.11578974682497,1,0,0,1,"No"
0,"3rd","male",22,0,0,7.2292,"C",0,7.2292,0.271173661724051,0.110143461355631,-0.534590915209605,-0.821107394805792,1,1,0,0,"No"
1,"1st","female",38,0,0,80,"S",1,65.6344,0.472229203317416,1,0.66801657160677,2.03048281603878,0,0,0,1,"Yes"
0,"1st","male",45,1,0,83.475,"S",1,65.6344,0.560191002764514,1,1.19415734708893,2.03048281603878,1,0,0,1,"No"
0,"3rd","male",4,3,2,27.9,"S",0,27.9,0.0449861774315155,0.425081969211267,-1.88752433787803,0.188128956243874,1,0,0,1,"No"
0,"1st","male",40,0,0,27.7208,"C",0,27.7208,0.497361146016587,0.422351693624075,0.818342507458817,0.179379650261131,1,1,0,0,"No"
1,"3rd","male",25,1,1,15.2458,"C",0,15.2458,0.308871575772807,0.232283680509001,-0.309102011431534,-0.429702895133561,1,1,0,0,"Yes"
1,"2nd","female",29,0,0,10.5,"S",1,10.5,0.359135461171149,0.159977085187036,-0.00845013972744087,-0.661413030919863,0,0,0,1,"Yes"
0,"3rd","male",19,0,0,8.1583,"S",0,8.1583,0.233475747675295,0.124299148007752,-0.760079818987675,-0.775744782146376,1,0,0,1,"No"
1,"3rd","female",17,4,2,7.925,"S",0,7.925,0.208343804976125,0.120744609534025,-0.910405754839722,-0.787135480169669,0,0,0,1,"Yes"
0,"3rd","male",26,2,0,8.6625,"S",0,8.6625,0.321437547122393,0.131981095279305,-0.233939043505511,-0.751127594219482,1,0,0,1,"No"
0,"2nd","male",32,0,0,10.5,"S",0,10.5,0.396833375219904,0.159977085187036,0.217038764050629,-0.661413030919863,1,0,0,1,"No"
0,"3rd","female",16,5,2,46.9,"S",0,46.9,0.195777833626539,0.714564313835428,-0.985568722765745,1.11578974682497,0,0,0,1,"No"
0,"2nd","male",21,0,0,73.5,"S",0,65.6344,0.258607690374466,1,-0.609753883135628,2.03048281603878,1,0,0,1,"No"
0,"3rd","male",26,1,0,14.4542,"C",0,14.4542,0.321437547122393,0.220222931877186,-0.233939043505511,-0.468352173124297,1,1,0,0,"No"
1,"3rd","male",32,0,0,56.4958,"S",0,56.4958,0.396833375219904,0.860765086600929,0.217038764050629,1.58429750547013,1,0,0,1,"Yes"
0,"3rd","male",25,0,0,7.65,"S",1,7.65,0.308871575772807,0.116554733493412,-0.309102011431534,-0.800562149507027,1,0,0,1,"No"
0,"3rd","male",25,0,0,7.8958,"S",0,7.8958,0.308871575772807,0.120299720878076,-0.309102011431534,-0.788561148332036,1,0,0,1,"No"
0,"3rd","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.122649098643394,-0.309102011431534,-0.781032448652689,1,0,0,1,"No"
1,"2nd","male",0.83,0,2,29,"S",0,29,0.00515204825332998,0.441841473373719,-2.12579094620352,0.241835633593306,1,0,0,1,"Yes"
1,"3rd","female",30,0,0,12.475,"S",0,12.475,0.371701432520734,0.190068013115074,0.0667128281985825,-0.564985132951566,0,0,0,1,"Yes"
0,"3rd","male",22,0,0,9,"S",0,9,0.271173661724051,0.137123215874602,-0.534590915209605,-0.734649409123634,1,0,0,1,"No"
1,"3rd","male",29,0,0,9.5,"S",0,9.5,0.359135461171149,0.14474117231208,-0.00845013972744087,-0.71023728305571,1,0,0,1,"Yes"
1,"3rd","female",21.5,0,0,7.7875,"Q",0,7.7875,0.264890676049259,0.118649671513718,-0.572172399172616,-0.793848814838349,0,0,1,0,"Yes"
0,"1st","male",28,0,0,47.1,"S",0,47.1,0.346569489821563,0.717611496410419,-0.0836131076534643,1.12555459725214,1,0,0,1,"No"
1,"2nd","female",17,0,0,10.5,"S",0,10.5,0.208343804976125,0.159977085187036,-0.910405754839722,-0.661413030919863,0,0,0,1,"Yes"
1,"3rd","female",33,3,0,15.85,"S",0,15.85,0.40939934656949,0.24148921906805,0.292201731976653,-0.400203281993082,0,0,0,1,"Yes"
0,"3rd","male",16,1,3,34.375,"S",0,34.375,0.195777833626539,0.523734505076606,-0.985568722765745,0.504265988823484,1,0,0,1,"No"
0,"3rd","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.122649098643394,-0.309102011431534,-0.781032448652689,1,0,0,1,"No"
1,"1st","female",23,3,2,263,"S",1,65.6344,0.283739633073637,1,-0.459427947283581,2.03048281603878,0,0,0,1,"Yes"
0,"3rd","male",24,0,0,8.05,"S",0,8.05,0.296305604423222,0.122649098643394,-0.384264979357558,-0.781032448652689,1,0,0,1,"No"
0,"3rd","male",29,0,0,8.05,"S",0,8.05,0.359135461171149,0.122649098643394,-0.00845013972744087,-0.781032448652689,1,0,0,1,"No"
0,"3rd","male",20,0,0,7.8542,"S",0,7.8542,0.246041719024881,0.119665906902478,-0.684916851061652,-0.790592237220887,1,0,0,1,"No"
0,"1st","male",46,1,0,61.175,"S",1,61.175,0.572756974114099,0.932056970125422,1.26932031501496,1.81275594606418,1,0,0,1,"No"
0,"3rd","male",26,1,2,20.575,"S",0,20.575,0.321437547122393,0.313478907402216,-0.233939043505511,-0.169508690651205,1,0,0,1,"No"
0,"3rd","male",59,0,0,7.25,"S",0,7.25,0.736114601658708,0.11046036834343,2.24643889805326,-0.820091850361366,1,0,0,1,"No"
0,"3rd","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.122649098643394,-0.309102011431534,-0.781032448652689,1,0,0,1,"No"
0,"1st","male",71,0,0,34.6542,"C",1,34.6542,0.886906257853732,0.527988371951294,3.14839451316554,0.517897720019812,1,1,0,0,"No"
1,"1st","male",23,0,1,63.3583,"C",1,63.3583,0.283739633073637,0.965321538705313,-0.459427947283581,1.91935393575238,1,1,0,0,"Yes"
1,"2nd","female",34,0,1,23,"S",0,23,0.421965317919075,0.350425996123984,0.367364699902676,-0.0511098792217759,0,0,0,1,"Yes"
0,"2nd","male",34,1,0,26,"S",0,26,0.421965317919075,0.396133734748851,0.367364699902676,0.0953628771857652,1,0,0,1,"No"
0,"3rd","female",28,0,0,7.8958,"S",0,7.8958,0.346569489821563,0.120299720878076,-0.0836131076534643,-0.788561148332036,0,0,0,1,"No"
0,"3rd","male",25,0,0,7.8958,"S",0,7.8958,0.308871575772807,0.120299720878076,-0.309102011431534,-0.788561148332036,1,0,0,1,"No"
0,"1st","male",21,0,1,77.2875,"S",1,65.6344,0.258607690374466,1,-0.609753883135628,2.03048281603878,1,0,0,1,"No"
0,"3rd","male",33,0,0,8.6542,"S",0,8.6542,0.40939934656949,0.131854637202443,0.292201731976653,-0.75153283551221,1,0,0,1,"No"
0,"3rd","male",37,2,0,7.925,"S",0,7.925,0.459663231967831,0.120744609534025,0.592853603680746,-0.787135480169669,1,0,0,1,"No"
0,"3rd","male",28,0,0,7.8958,"S",0,7.8958,0.346569489821563,0.120299720878076,-0.0836131076534643,-0.788561148332036,1,0,0,1,"No"
1,"3rd","female",21,0,0,7.65,"S",0,7.65,0.258607690374466,0.116554733493412,-0.609753883135628,-0.800562149507027,0,0,0,1,"Yes"
1,"3rd","male",25,0,0,7.775,"S",0,7.775,0.308871575772807,0.118459222602781,-0.309102011431534,-0.794459117990046,1,0,0,1,"Yes"
0,"3rd","male",38,0,0,7.8958,"S",0,7.8958,0.472229203317416,0.120299720878076,0.66801657160677,-0.788561148332036,1,0,0,1,"No"
1,"3rd","female",21.5,1,0,24.15,"Q",0,24.15,0.264890676049259,0.367947295930183,-0.572172399172616,0.00503801073444814,0,0,1,0,"Yes"
0,"1st","male",47,0,0,52,"S",1,52,0.585322945463684,0.792267469497702,1.34448328294098,1.36479343271779,1,0,0,1,"No"
0,"3rd","female",14.5,1,0,14.4542,"C",0,14.4542,0.176928876602161,0.220222931877186,-1.09831317465478,-0.468352173124297,0,1,0,0,"No"
0,"3rd","male",22,0,0,8.05,"S",0,8.05,0.271173661724051,0.122649098643394,-0.534590915209605,-0.781032448652689,1,0,0,1,"No"
0,"3rd","female",20,1,0,9.825,"S",0,9.825,0.246041719024881,0.149692843996441,-0.684916851061652,-0.69436940111156,0,0,0,1,"No"
0,"3rd","female",17,0,0,14.4583,"C",0,14.4583,0.208343804976125,0.220285399119974,-0.910405754839722,-0.46815199369054,0,1,0,0,"No"
0,"3rd","male",21,0,0,7.925,"S",0,7.925,0.258607690374466,0.120744609534025,-0.609753883135628,-0.787135480169669,1,0,0,1,"No"
0,"3rd","male",70.5,0,0,7.75,"Q",0,7.75,0.880623272178939,0.118078324780908,3.11081302920253,-0.795679724293443,1,0,1,0,"No"
0,"2nd","male",29,1,0,21,"S",0,21,0.359135461171149,0.319954170374072,-0.00845013972744087,-0.14875838349347,1,0,0,1,"No"
0,"1st","male",24,0,1,247.5208,"C",1,65.6344,0.296305604423222,1,-0.384264979357558,2.03048281603878,1,1,0,0,"No"
0,"3rd","female",2,4,2,31.275,"S",0,31.275,0.0198542347323448,0.476503175164243,-2.03785027373007,0.352910807202358,0,0,0,1,"No"
0,"2nd","male",21,2,0,73.5,"S",0,65.6344,0.258607690374466,1,-0.609753883135628,2.03048281603878,1,0,0,1,"No"
0,"3rd","male",25,0,0,8.05,"S",0,8.05,0.308871575772807,0.122649098643394,-0.309102011431534,-0.781032448652689,1,0,0,1,"No"
0,"2nd","male",32.5,1,0,30.0708,"C",0,30.0708,0.403116360894697,0.458156088880221,0.254620248013641,0.294116642780371,1,1,0,0,"No"
1,"2nd","female",32.5,0,0,13,"S",1,13,0.403116360894697,0.198066867374426,0.254620248013641,-0.539352400580246,0,0,0,1,"Yes"
0,"1st","male",54,0,1,77.2875,"S",1,65.6344,0.673284744910782,1,1.87062405842314,2.03048281603878,1,0,0,1,"No"
1,"3rd","male",12,1,0,11.2417,"C",0,11.2417,0.145513948228198,0.171277561766391,-1.28622059446984,-0.625200083110706,1,1,0,0,"Yes"
0,"3rd","male",25,0,0,7.75,"Q",0,7.75,0.308871575772807,0.118078324780908,-0.309102011431534,-0.795679724293443,1,0,1,0,"No"
1,"3rd","male",24,0,0,7.1417,"S",0,7.1417,0.296305604423222,0.108810318979072,-0.384264979357558,-0.825379516867678,1,0,0,1,"Yes"
1,"3rd","female",21.5,1,1,22.3583,"C",1,22.3583,0.264890676049259,0.340649110832125,-0.572172399172616,-0.0824404018173489,0,1,0,0,"Yes"
0,"3rd","male",45,0,0,6.975,"S",0,6.975,0.560191002764514,0.106270492302817,1.19415734708893,-0.833518519698724,1,0,0,1,"No"
0,"3rd","male",33,0,0,7.8958,"C",0,7.8958,0.40939934656949,0.120299720878076,0.292201731976653,-0.788561148332036,1,1,0,0,"No"
0,"3rd","male",20,0,0,7.05,"S",0,7.05,0.246041719024881,0.107413185768439,-0.684916851061652,-0.829856700788536,1,0,0,1,"No"
0,"3rd","female",47,1,0,14.5,"S",0,14.5,0.585322945463684,0.220920736686859,1.34448328294098,-0.466116022376475,0,0,0,1,"No"
1,"2nd","female",29,1,0,26,"S",0,26,0.359135461171149,0.396133734748851,-0.00845013972744087,0.0953628771857652,0,0,0,1,"Yes"
0,"2nd","male",25,0,0,13,"S",0,13,0.308871575772807,0.198066867374426,-0.309102011431534,-0.539352400580246,1,0,0,1,"No"
0,"2nd","male",23,0,0,15.0458,"C",0,15.0458,0.283739633073637,0.22923649793401,-0.459427947283581,-0.43946774556073,1,1,0,0,"No"
1,"1st","female",19,0,2,26.2833,"S",1,26.2833,0.233475747675295,0.400450068866326,-0.760079818987675,0.109194787815851,0,0,0,1,"Yes"
0,"1st","male",37,1,0,53.1,"S",1,53.1,0.459663231967831,0.809026973660154,0.592853603680746,1.41850011006722,1,0,0,1,"No"
0,"3rd","male",16,0,0,9.2167,"S",0,9.2167,0.195777833626539,0.140424838194605,-0.985568722765745,-0.724069193685796,1,0,0,1,"No"
0,"1st","male",24,0,0,79.2,"C",1,65.6344,0.296305604423222,1,-0.384264979357558,2.03048281603878,1,1,0,0,"No"
0,"3rd","female",21.5,0,2,15.2458,"C",0,15.2458,0.264890676049259,0.232283680509001,-0.572172399172616,-0.429702895133561,0,1,0,0,"No"
1,"3rd","female",22,0,0,7.75,"S",0,7.75,0.271173661724051,0.118078324780908,-0.534590915209605,-0.795679724293443,0,0,0,1,"Yes"
1,"3rd","female",24,1,0,15.85,"S",0,15.85,0.296305604423222,0.24148921906805,-0.384264979357558,-0.400203281993082,0,0,0,1,"Yes"
0,"3rd","male",19,0,0,6.75,"Q",0,6.75,0.233475747675295,0.102842411905952,-0.760079818987675,-0.84450397642929,1,0,1,0,"No"
0,"2nd","male",18,0,0,11.5,"S",0,11.5,0.22090977632571,0.175212998061992,-0.835242786913698,-0.612588778784016,1,0,0,1,"No"
0,"2nd","male",19,1,1,36.75,"S",0,36.75,0.233475747675295,0.559919798154626,-0.760079818987675,0.620223587646121,1,0,0,1,"No"
1,"3rd","male",27,0,0,7.7958,"S",0,7.7958,0.334003518471978,0.118776129590581,-0.158776075579488,-0.793443573545621,1,0,0,1,"Yes"
0,"3rd","female",9,2,2,34.375,"S",0,34.375,0.107816034179442,0.523734505076606,-1.51170949824791,0.504265988823484,0,0,0,1,"No"
0,"2nd","male",36.5,0,2,26,"S",1,26,0.453380246293038,0.396133734748851,0.555272119717735,0.0953628771857652,1,0,0,1,"No"
0,"2nd","male",42,0,0,13,"S",0,13,0.522493088715758,0.198066867374426,0.968668443310863,-0.539352400580246,1,0,0,1,"No"
0,"2nd","male",51,0,0,12.525,"S",0,12.525,0.635586830862026,0.190829808758822,1.64513515464507,-0.562543920344773,1,0,0,1,"No"
1,"1st","female",22,1,0,66.6,"S",1,65.6344,0.271173661724051,1,-0.534590915209605,2.03048281603878,0,0,0,1,"Yes"
0,"3rd","male",55.5,0,0,8.05,"S",0,8.05,0.69213370193516,0.122649098643394,1.98336851031218,-0.781032448652689,1,0,0,1,"No"
0,"3rd","male",40.5,0,2,14.5,"S",0,14.5,0.50364413169138,0.220920736686859,0.855923991421828,-0.466116022376475,1,0,0,1,"No"
0,"3rd","male",25,0,0,7.3125,"S",0,7.3125,0.308871575772807,0.111412612898114,-0.309102011431534,-0.817040334602876,1,0,0,1,"No"
0,"1st","male",51,0,1,61.3792,"C",0,61.3792,0.635586830862026,0.935168143534488,1.64513515464507,1.82272585835032,1,1,0,0,"No"
1,"3rd","female",16,0,0,7.7333,"Q",0,7.7333,0.195777833626539,0.117823885035896,-0.985568722765745,-0.796495089304111,0,0,1,0,"Yes"
0,"3rd","male",30,0,0,8.05,"S",0,8.05,0.371701432520734,0.122649098643394,0.0667128281985825,-0.781032448652689,1,0,0,1,"No"
0,"3rd","male",25,0,0,8.6625,"S",0,8.6625,0.308871575772807,0.131981095279305,-0.309102011431534,-0.751127594219482,1,0,0,1,"No"
0,"3rd","male",25,8,2,69.55,"S",0,65.6344,0.308871575772807,1,-0.309102011431534,2.03048281603878,1,0,0,1,"No"
0,"3rd","male",44,0,1,16.1,"S",0,16.1,0.547625031414928,0.245298197286789,1.11899437916291,-0.38799721895912,1,0,0,1,"No"
1,"2nd","female",40,0,0,15.75,"S",0,15.75,0.497361146016587,0.239965627780554,0.818342507458817,-0.405085707206667,0,0,0,1,"Yes"
0,"3rd","male",26,0,0,7.775,"S",0,7.775,0.321437547122393,0.118459222602781,-0.233939043505511,-0.794459117990046,1,0,0,1,"No"
0,"3rd","male",17,0,0,8.6625,"S",0,8.6625,0.208343804976125,0.131981095279305,-0.910405754839722,-0.751127594219482,1,0,0,1,"No"
0,"3rd","male",1,4,1,39.6875,"S",0,39.6875,0.00728826338275949,0.604675292224809,-2.1130132416561,0.763644828295171,1,0,0,1,"No"
1,"3rd","male",9,0,2,20.525,"S",0,20.525,0.107816034179442,0.312717111758468,-1.51170949824791,-0.171949903257997,1,0,0,1,"Yes"
1,"1st","female",35,0,1,55,"S",1,55,0.43453128926866,0.83797520812257,0.4425276678287,1.51126618912533,0,0,0,1,"Yes"
0,"3rd","female",45,1,4,27.9,"S",0,27.9,0.560191002764514,0.425081969211267,1.19415734708893,0.188128956243874,0,0,0,1,"No"
0,"1st","male",40,0,0,25.925,"S",0,25.925,0.497361146016587,0.39499104128323,0.818342507458817,0.0917010582755767,1,0,0,1,"No"
0,"3rd","male",28,0,0,56.4958,"S",0,56.4958,0.346569489821563,0.860765086600929,-0.0836131076534643,1.58429750547013,1,0,0,1,"No"
0,"1st","male",61,0,0,33.5,"S",1,33.5,0.761246544357879,0.51040308131102,2.39676483390531,0.461544768204618,1,0,0,1,"No"
0,"3rd","male",4,4,1,29.125,"Q",0,29.125,0.0449861774315155,0.443745962483088,-1.88752433787803,0.247938665110287,1,0,1,0,"No"
1,"3rd","female",1,1,1,11.1333,"S",0,11.1333,0.00728826338275949,0.169625988810746,-2.1130132416561,-0.630492632042231,0,0,0,1,"Yes"
0,"3rd","male",21,0,0,7.925,"S",0,7.925,0.258607690374466,0.120744609534025,-0.609753883135628,-0.787135480169669,1,0,0,1,"No"
0,"1st","male",56,0,0,30.6958,"C",1,30.6958,0.698416687609952,0.467678534427069,2.02094999427519,0.324631800365275,1,1,0,0,"No"
0,"3rd","male",18,1,1,7.8542,"S",0,7.8542,0.22090977632571,0.119665906902478,-0.835242786913698,-0.790592237220887,1,0,0,1,"No"
0,"3rd","male",25,3,1,25.4667,"S",0,25.4667,0.308871575772807,0.388008422412637,-0.309102011431534,0.0693249035217179,1,0,0,1,"No"
0,"1st","female",50,0,0,28.7125,"C",1,28.7125,0.62302085951244,0.437461148422169,1.56997218671905,0.22779866110425,0,1,0,0,"No"
0,"2nd","male",30,0,0,13,"S",0,13,0.371701432520734,0.198066867374426,0.0667128281985825,-0.539352400580246,1,0,0,1,"No"
0,"3rd","male",36,0,0,0,"S",0,0,0.447097260618246,0,0.517690635754723,-1.17406767834626,1,0,0,1,"No"
0,"3rd","female",21.5,8,2,69.55,"S",0,65.6344,0.264890676049259,1,-0.572172399172616,2.03048281603878,0,0,0,1,"No"
0,"2nd","male",30,0,0,15.05,"C",0,15.05,0.371701432520734,0.229300488768085,0.0667128281985825,-0.43926268370176,1,1,0,0,"No"
0,"3rd","male",9,4,2,31.3875,"S",0,31.3875,0.107816034179442,0.478217215362676,-1.51170949824791,0.358403535567641,1,0,0,1,"No"
1,"2nd","male",1,2,1,39,"S",1,39,0.00728826338275949,0.594200602123277,-2.1130132416561,0.730078154951776,1,0,0,1,"Yes"
1,"3rd","female",4,0,2,22.025,"S",0,22.025,0.0449861774315155,0.335570981070902,-1.88752433787803,-0.0987135250542267,0,0,0,1,"Yes"
0,"1st","male",40,0,0,50,"S",1,50,0.497361146016587,0.761795643747791,0.818342507458817,1.26714492844609,1,0,0,1,"No"
